,District,Republican,Democratic,Year,State
0,1st,"196,374",0,2012,AL
1,2d,"180,591","103,092",2012,AL
2,3d,"175,306","98,141",2012,AL
3,4th,"199,071","69,706",2012,AL
4,5th,"189,185","101,772",2012,AL
5,6th,"219,262","88,267",2012,AL
6,7th,"73,835","232,520",2012,AL
9,1,"185,296","82,927",2012,AK
11,1st,"113,594","122,774",2012,AZ
12,2d,"144,884","147,338",2012,AZ
13,3d,"62,663","98,468",2012,AZ
14,4th,"162,907","69,154",2012,AZ
15,5th,"183,470","89,589",2012,AZ
16,6th,"179,706","97,666",2012,AZ
17,7th,0,"104,489",2012,AZ
18,8th,"172,809","95,635",2012,AZ
19,9th,"111,630","121,881",2012,AZ
23,1st   ,"138,800","96,601",2012,AR
24,2d ,"158,175","113,156",2012,AR
25,3d,"186,467",0,2012,AR
26,4th,"154,149","95,013",2012,AR
29,1st,"168,827","125,386",2012,CA
30,2d,"91,310","226,216",2012,CA
31,3d,"107,086","126,882",2012,CA
32,4th,"197,803","125,885",2012,CA
33,5th,"69,545","202,872",2012,CA
34,6th,"53,406","160,667",2012,CA
35,7th,"132,050","141,241",2012,CA
36,8th,"179,644",0,2012,CA
37,9th,"94,704","118,373",2012,CA
38,10th,"110,265","98,934",2012,CA
39,11th,"87,136","200,743",2012,CA
40,12th,"44,478","253,709",2012,CA
41,13th,0,"250,436",2012,CA
42,14th,"54,455","203,828",2012,CA
43,15th,0,"231,034",2012,CA
44,16th,"62,801","84,649",2012,CA
45,17th,"57,336","159,392",2012,CA
46,18th,"89,103","212,831",2012,CA
47,19th,"59,313","162,300",2012,CA
48,20th,"60,566","172,996",2012,CA
49,21st,"67,164","49,119",2012,CA
50,22d,"132,386","81,555",2012,CA
51,23d,"158,161",0,2012,CA
52,24th,"127,746","156,749",2012,CA
53,25th,"129,593","106,982",2012,CA
54,26th,"124,863","139,072",2012,CA
55,27th,"86,817","154,191",2012,CA
56,28th,"58,008","188,703",2012,CA
57,29th,0,"111,287",2012,CA
58,30th,0,"247,851",2012,CA
59,31st,"161,219",0,2012,CA
60,32d,"65,208","124,903",2012,CA
61,33d,0,"171,860",2012,CA
62,34th,"20,223","120,367",2012,CA
63,35th,0,"142,680",2012,CA
64,36th,"97,953","110,189",2012,CA
65,37th,"32,541","207,039",2012,CA
66,38th,"69,807","145,280",2012,CA
67,39th,"145,607","106,360",2012,CA
68,40th,0,"125,553",2012,CA
69,41st,"72,074","103,578",2012,CA
70,42d,"130,245","84,702",2012,CA
71,43d,0,"200,894",2012,CA
72,44th,0,"165,898",2012,CA
73,45th,"171,417","121,814",2012,CA
74,46th,"54,121","95,694",2012,CA
75,47th,"99,919","130,093",2012,CA
76,48th,"177,144","113,358",2012,CA
77,49th,"159,725","114,893",2012,CA
78,50th,"174,838","83,455",2012,CA
79,51st,"45,464","113,934",2012,CA
80,52d,"144,459","151,451",2012,CA
81,53d,"103,482","164,825",2012,CA
85,1st,"93,217","237,579",2012,CO
86,2d,"162,639","234,758",2012,CO
87,3d,"185,291","142,619",2012,CO
88,4th,"200,006","125,800",2012,CO
89,5th,"199,639",0,2012,CO
90,6th,"163,938","156,937",2012,CO
91,7th,"139,066","182,460",2012,CO
94,1st,"82,321","192,840",2012,CT
95,2d,"88,103","189,444",2012,CT
96,3d,"73,726","197,163",2012,CT
97,4th,"117,503","167,320",2012,CT
98,5th,"128,927","137,631",2012,CT
102,1,"129,757","249,933",2012,DE
105,1st,"238,440","92,961",2012,FL
106,2d,"175,856","157,634",2012,FL
107,3d,"204,331","102,468",2012,FL
108,4th,"239,988",0,2012,FL
109,5th,"70,700","190,472",2012,FL
110,6th,"195,962","146,489",2012,FL
111,7th,"185,518","130,479",2012,FL
112,8th,"205,432","130,870",2012,FL
113,9th,"98,856","164,891",2012,FL
114,10th,"164,649","153,574",2012,FL
115,11th,"218,360","120,303",2012,FL
116,12th,"209,604","108,770",2012,FL
117,13th,"189,605","139,742",2012,FL
118,14th,"83,480","197,121",2012,FL
