,District,Republican,Democratic,Year,State,,,,,,,,,,,,,,,,,,,,
,1st,"208,083",0,2016,AL,,,,,,,,,,,,,,,,,,,,
,2d,"134,886","112,089",2016,AL,,,,,,,,,,,,,,,,,,,,
,3d,"192,164","94,549",2016,AL,,,,,,,,,,,,,,,,,,,,
,4th,"235,925",0,2016,AL,,,,,,,,,,,,,,,,,,,,
,5th,"205,647","102,234",2016,AL,,,,,,,,,,,,,,,,,,,,
,6th,"245,313","83,709",2016,AL,,,,,,,,,,,,,,,,,,,,
,7th,0,"229,330",2016,AL,,,,,,,,,,,,,,,,,,,,
,,"1,222,018","621,911",2016,AL,,,,,,,,,,,,,,,,,,,,
,,"1,335,104","748,709",2016,AL,,,,,,,,,,,,,,,,,,,,
,,"1,318,255","729,547",2016,AL,,,,,,,,,,,,,,,,,,,,
,1st,"155,088","111,019",2016,AK,,,,,,,,,,,,,,,,,,,,
,,"138,149","36,200",2016,AK,,,,,,,,,,,,,,,,,,,,
,,"163,387","116,454",2016,AK,,,,,,,,,,,,,,,,,,,,
,1st,"121,745","142,219",2016,AZ,,,,,,,,,,,,,,,,,,,,
,2d,"179,806","135,873",2016,AZ,,,,,,,,,,,,,,,,,,,,
,3d,0,"148,973",2016,AZ,,,,,,,,,,,,,,,,,,,,
,4th,"203,487","81,296",2016,AZ,,,,,,,,,,,,,,,,,,,,
,5th,"205,184","114,940",2016,AZ,,,,,,,,,,,,,,,,,,,,
,6th,"201,578","122,866",2016,AZ,,,,,,,,,,,,,,,,,,,,
,7th,"39,286","119,465",2016,AZ,,,,,,,,,,,,,,,,,,,,
,8th,"204,942",0,2016,AZ,,,,,,,,,,,,,,,,,,,,
,9th,"108,350","169,055",2016,AZ,,,,,,,,,,,,,,,,,,,,
,,"1,264,378","1,034,687",2016,AZ,,,,,,,,,,,,,,,,,,,,
,,"1,359,267","1,031,245",2016,AZ,,,,,,,,,,,,,,,,,,,,
,,"1,252,401","1,161,167",2016,AZ,,,,,,,,,,,,,,,,,,,,
,1st,"183,866",0,2016,AR,,,,,,,,,,,,,,,,,,,,
,2d,"176,472","111,347",2016,AR,,,,,,,,,,,,,,,,,,,,
,3d,"217,192",0,2016,AR,,,,,,,,,,,,,,,,,,,,
,4th,"182,885",0,2016,AR,,,,,,,,,,,,,,,,,,,,
,,"760,415","111,347",2016,AR,,,,,,,,,,,,,,,,,,,,
,,"661,984","400,602",2016,AR,,,,,,,,,,,,,,,,,,,,
,,"684,872","380,494",2016,AR,,,,,,,,,,,,,,,,,,,,
,1st,"185,448","128,588",2016,CA,,,,,,,,,,,,,,,,,,,,
,2d,"76,572","254,194",2016,CA,,,,,,,,,,,,,,,,,,,,
,3d,"104,453","152,513",2016,CA,,,,,,,,,,,,,,,,,,,,
,4th,"220,133","130,845",2016,CA,,,,,,,,,,,,,,,,,,,,
,5th,"67,565","224,526",2016,CA,,,,,,,,,,,,,,,,,,,,
,6th,"57,848","177,565",2016,CA,,,,,,,,,,,,,,,,,,,,
,7th,"145,168","152,133",2016,CA,,,,,,,,,,,,,,,,,,,,
,8th,"136,972","83,035",2016,CA,,,,,,,,,,,,,,,,,,,,
,9th,"98,992","133,163",2016,CA,,,,,,,,,,,,,,,,,,,,
,10th,"124,671","116,470",2016,CA,,,,,,,,,,,,,,,,,,,,
,11th,"83,341","214,868",2016,CA,,,,,,,,,,,,,,,,,,,,
,12th,0,"274,035",2016,CA,,,,,,,,,,,,,,,,,,,,
,13th,"29,754","293,117",2016,CA,,,,,,,,,,,,,,,,,,,,
,14th,"54,817","231,630",2016,CA,,,,,,,,,,,,,,,,,,,,
,15th,"70,619","198,578",2016,CA,,,,,,,,,,,,,,,,,,,,
,16th,"70,483","97,473",2016,CA,,,,,,,,,,,,,,,,,,,,
,17th,0,"233,192",2016,CA,,,,,,,,,,,,,,,,,,,,
,18th,"93,470","230,460",2016,CA,,,,,,,,,,,,,,,,,,,,
,19th,"64,061","181,802",2016,CA,,,,,,,,,,,,,,,,,,,,
,20th,"74,811","180,980",2016,CA,,,,,,,,,,,,,,,,,,,,
,21st,"75,126","57,282",2016,CA,,,,,,,,,,,,,,,,,,,,
,22d,"158,755","76,211",2016,CA,,,,,,,,,,,,,,,,,,,,
,23d,"167,116","74,468",2016,CA,,,,,,,,,,,,,,,,,,,,
,24th,"144,780","166,034",2016,CA,,,,,,,,,,,,,,,,,,,,
,25th,"138,755","122,406",2016,CA,,,,,,,,,,,,,,,,,,,,
,26th,"111,059","169,248",2016,CA,,,,,,,,,,,,,,,,,,,,
,27th,"81,655","168,977",2016,CA,,,,,,,,,,,,,,,,,,,,
,28th,"59,526","210,883",2016,CA,,,,,,,,,,,,,,,,,,,,
,29th,0,"171,824",2016,CA,,,,,,,,,,,,,,,,,,,,
,30th,"77,325","205,279",2016,CA,,,,,,,,,,,,,,,,,,,,
,31st,"94,866","121,070",2016,CA,,,,,,,,,,,,,,,,,,,,
,32d,0,"186,646",2016,CA,,,,,,,,,,,,,,,,,,,,
,33d,"110,822","219,397",2016,CA,,,,,,,,,,,,,,,,,,,,
,34th,0,"159,156",2016,CA,,,,,,,,,,,,,,,,,,,,
,35th,"47,309","124,044",2016,CA,,,,,,,,,,,,,,,,,,,,
,36th,"88,269","144,348",2016,CA,,,,,,,,,,,,,,,,,,,,
,37th,0,"237,272",2016,CA,,,,,,,,,,,,,,,,,,,,
,38th,"68,524","163,590",2016,CA,,,,,,,,,,,,,,,,,,,,
,39th,"150,777","112,679",2016,CA,,,,,,,,,,,,,,,,,,,,
,40th,0,"106,554",2016,CA,,,,,,,,,,,,,,,,,,,,
,41st,"69,159","128,164",2016,CA,,,,,,,,,,,,,,,,,,,,
,42d,"149,547","104,689",2016,CA,,,,,,,,,,,,,,,,,,,,
,43d,"52,499","167,017",2016,CA,,,,,,,,,,,,,,,,,,,,
,44th,0,"178,413",2016,CA,,,,,,,,,,,,,,,,,,,,
,45th,"182,618","129,231",2016,CA,,,,,,,,,,,,,,,,,,,,
,46th,0,"164,593",2016,CA,,,,,,,,,,,,,,,,,,,,
,47th,"88,109","154,759",2016,CA,,,,,,,,,,,,,,,,,,,,
,48th,"178,701","127,715",2016,CA,,,,,,,,,,,,,,,,,,,,
,49th,"155,888","154,267",2016,CA,,,,,,,,,,,,,,,,,,,,
,50th,"179,937","103,646",2016,CA,,,,,,,,,,,,,,,,,,,,
,51st,"54,362","145,162",2016,CA,,,,,,,,,,,,,,,,,,,,
,52d,"139,403","181,253",2016,CA,,,,,,,,,,,,,,,,,,,,
,53d,"97,968","198,988",2016,CA,,,,,,,,,,,,,,,,,,,,
,,"4,682,033","8,624,432",2016,CA,,,,,,,,,,,,,,,,,,,,
,,0,"12,244,170",2016,CA,,,,,,,,,,,,,,,,,,,,
,,"4,483,810","8,753,788",2016,CA,,,,,,,,,,,,,,,,,,,,
,1st,"105,030","257,254",2016,CO,,,,,,,,,,,,,,,,,,,,
,2d,"170,001","260,175",2016,CO,,,,,,,,,,,,,,,,,,,,
,3d,"204,220","150,914",2016,CO,,,,,,,,,,,,,,,,,,,,
,4th,"248,230","123,642",2016,CO,,,,,,,,,,,,,,,,,,,,
,5th,"225,445","111,676",2016,CO,,,,,,,,,,,,,,,,,,,,
,6th,"191,626","160,372",2016,CO,,,,,,,,,,,,,,,,,,,,
,7th,"144,066","199,758",2016,CO,,,,,,,,,,,,,,,,,,,,
,,"1,288,618","1,263,791",2016,CO,,,,,,,,,,,,,,,,,,,,
,,"1,215,318","1,370,710",2016,CO,,,,,,,,,,,,,,,,,,,,
,,"1,202,484","1,338,870",2016,CO,,,,,,,,,,,,,,,,,,,,
,1st,"105,674","187,021",2016,CT,,,,,,,,,,,,,,,,,,,,
,2d,"111,149","186,210",2016,CT,,,,,,,,,,,,,,,,,,,,
,3d,"95,786","192,274",2016,CT,,,,,,,,,,,,,,,,,,,,
,4th,"120,653","187,811",2016,CT,,,,,,,,,,,,,,,,,,,,
,5th,"124,900","163,499",2016,CT,,,,,,,,,,,,,,,,,,,,
,,"558,162","916,815",2016,CT,,,,,,,,,,,,,,,,,,,,
,,"552,621","920,766",2016,CT,,,,,,,,,,,,,,,,,,,,
,,"673,215","897,572",2016,CT,,,,,,,,,,,,,,,,,,,,
,1,"172,301","233,554",2016,DE,,,,,,,,,,,,,,,,,,,,
,,"185,127","235,603",2016,DE,,,,,,,,,,,,,,,,,,,,
,1st,"255,107","114,079",2016,FL,,,,,,,,,,,,,,,,,,,,
,2d,"231,163","102,801",2016,FL,,,,,,,,,,,,,,,,,,,,
,3d,"193,843","136,338",2016,FL,,,,,,,,,,,,,,,,,,,,
,4th,"287,509","113,088",2016,FL,,,,,,,,,,,,,,,,,,,,
,5th,"108,325","194,549",2016,FL,,,,,,,,,,,,,,,,,,,,
,6th,"213,519","151,051",2016,FL,,,,,,,,,,,,,,,,,,,,
,7th,"171,583","182,039",2016,FL,,,,,,,,,,,,,,,,,,,,
,8th,"246,483","127,127",2016,FL,,,,,,,,,,,,,,,,,,,,
,9th,"144,450","195,311",2016,FL,,,,,,,,,,,,,,,,,,,,
,10th,"107,498","198,491",2016,FL,,,,,,,,,,,,,,,,,,,,
,11th,"258,016","124,713",2016,FL,,,,,,,,,,,,,,,,,,,,
,12th,"253,559","116,110",2016,FL,,,,,,,,,,,,,,,,,,,,
,13th,"171,149","184,693",2016,FL,,,,,,,,,,,,,,,,,,,,
,14th,"121,088","195,789",2016,FL,,,,,,,,,,,,,,,,,,,,
,15th,"182,999","135,475",2016,FL,,,,,,,,,,,,,,,,,,,,
,16th,"230,654","155,262",2016,FL,,,,,,,,,,,,,,,,,,,,
,17th,"209,348","115,974",2016,FL,,,,,,,,,,,,,,,,,,,,
,18th,"201,488","161,918",2016,FL,,,,,,,,,,,,,,,,,,,,
,19th,"239,225","123,812",2016,FL,,,,,,,,,,,,,,,,,,,,
,20th,"54,646","222,914",2016,FL,,,,,,,,,,,,,,,,,,,,
,21st,"118,038","210,606",2016,FL,,,,,,,,,,,,,,,,,,,,
,22d,"138,737","199,113",2016,FL,,,,,,,,,,,,,,,,,,,,
