,District,Democratic,Republican,Year,State
0,1st,"89,226","153,228",2018,AL
1,2d,"86,931","138,879",2018,AL
2,3d,"83,996","147,770",2018,AL
3,4th,"46,492","184,255",2018,AL
4,5th,"101,388","159,063",2018,AL
5,6th,"85,644","192,542",2018,AL
6,7th,"185,010",0,2018,AL
8,1st,"143,240","122,784",2018,AK
9,2d,"161,000","133,083",2018,AZ
10,3d,"114,650","64,868",2018,AZ
11,4th,"84,521","188,842",2018,AZ
12,5th,"127,027","186,037",2018,AZ
13,6th,"140,559","173,140",2018,AZ
14,7th,"113,044",0,2018,AZ
15,8th,"135,569","168,835",2018,AZ
16,9th,"159,583","101,662",2018,AZ
19,1st,"57,907","138,757",2018,AZ
20,2d,"116,135","132,125",2018,AR
21,3d,"74,952","148,717",2018,AR
22,4th,"63,984","136,740",2018,AR
24,1st,"131,548","160,046",2018,AR
25,1st,"220,133","130,845",2018,CA
26,2d,"243,081","72,576",2018,CA
27,3d,"134,875","97,376",2018,CA
28,4th,"156,253","184,401",2018,CA
29,5th,"205,860",0,2018,CA
30,6th,"201,939",0,2018,CA
31,7th,"155,016","126,601",2018,CA
32,8th,0,"170,785",2018,CA
33,9th,"113,414","87,349",2018,CA
34,10th,"115,945","105,955",2018,CA
35,11th,"204,369","71,312",2018,CA
36,12th,"275,292","41,780",2018,CA
37,13th,"260,580",0,2018,CA
38,14th,"211,384","55,439",2018,CA
39,15th,"177,989","65,940",2018,CA
40,16th,"82,266","60,693",2018,CA
41,17th,"159,105","52,057",2018,CA
42,18th,"225,142","77,096",2018,CA
43,19th,"162,496","57,823",2018,CA
44,20th,"183,677",0,2018,CA
45,21st,"57,239","56,377",2018,CA
46,22d,"105,136","117,243",2018,CA
47,23d,"74,661","131,113",2018,CA
48,24th,"166,550","117,881",2018,CA
49,25th,"133,209","111,813",2018,CA
50,26th,"158,216","97,210",2018,CA
51,27th,"202,636",0,2018,CA
52,28th,"196,662","54,272",2018,CA
53,29th,"124,697","29,995",2018,CA
54,30th,"191,573","69,420",2018,CA
55,31st,"110,143","77,352",2018,CA
56,32d,"121,759","55,272",2018,CA
57,33d,"219,091","93,769",2018,CA
58,34th,"110,195",0,2018,CA
59,35th,"103,420","45,604",2018,CA
60,36th,"122,169","84,839",2018,CA
61,37th,"210,555","25,823",2018,CA
62,38th,"139,188","62,968",2018,CA
63,39th,"126,002","118,391",2018,CA
64,40th,"93,938",0,2018,CA
65,41st,"108,227","58,021",2018,CA
66,42d,"100,892","131,040",2018,CA
67,43d,"152,272","43,780",2018,CA
68,44th,"143,322",0,2018,CA
69,45th,"158,906","146,383",2018,CA
70,46th,"102,278","45,638",2018,CA
71,47th,"143,354","77,682",2018,CA
72,48th,"157,837","136,899",2018,CA
73,49th,"166,453","128,577",2018,CA
74,50th,"125,448","134,362",2018,CA
75,51st,"109,527","44,301",2018,CA
76,52d,"188,992","107,015",2018,CA
77,53d,"185,667","83,127",2018,CA
80,1st,"272,886","85,207",2018,CO
81,2d,"259,608","144,901",2018,CO
82,3d,"146,426","173,205",2018,CO
