,District,Democratic,Republican,Year,State,,,,,,,,,,,,,,,,,,,,,
,1st,"116,949","211,825",2020,AL,,,,,,,,,,,,,,,,,,,,,
,2d,"105,286","197,996",2020,AL,,,,,,,,,,,,,,,,,,,,,
,3d,"104,595","217,384",2020,AL,,,,,,,,,,,,,,,,,,,,,
,4th,"56,237","261,553",2020,AL,,,,,,,,,,,,,,,,,,,,,
,5th,0,"253,094",2020,AL,,,,,,,,,,,,,,,,,,,,,
,6th,0,"274,160",2020,AL,,,,,,,,,,,,,,,,,,,,,
,7th,"225,742",0,2020,AL,,,,,,,,,,,,,,,,,,,,,
,,"608,809","1,416,012",2020,AL,,,,,,,,,,,,,,,,,,,,,
,,"920,478","1,392,076",2020,AL,,,,,,,,,,,,,,,,,,,,,
,,"849,624","1,441,170",2020,AL,,,,,,,,,,,,,,,,,,,,,
,,"159,856","192,126",2020,AL,,,,,,,,,,,,,,,,,,,,,
,1,"146,068","191,112",2020,AK,,,,,,,,,,,,,,,,,,,,,
,,"153,778","189,951",2020,AK,,,,,,,,,,,,,,,,,,,,,
,1st,"188,469","176,709",2020,AR,,,,,,,,,,,,,,,,,,,,,
,2d,"209,945","170,975",2020,AR,,,,,,,,,,,,,,,,,,,,,
,3d,"174,243","95,594",2020,AR,,,,,,,,,,,,,,,,,,,,,
,4th,"120,484","278,002",2020,AR,,,,,,,,,,,,,,,,,,,,,
,5th,"183,171","262,414",2020,AR,,,,,,,,,,,,,,,,,,,,,
,6th,"199,644","217,783",2020,AR,,,,,,,,,,,,,,,,,,,,,
,7th,"165,452","50,226",2020,AR,,,,,,,,,,,,,,,,,,,,,
,8th,"170,816","251,633",2020,AR,,,,,,,,,,,,,,,,,,,,,
,9th,"217,094","135,180",2020,AR,,,,,,,,,,,,,,,,,,,,,
,,"1,629,318","1,638,516",2020,AR,,,,,,,,,,,,,,,,,,,,,
,,"1,716,467","1,637,661",2020,AR,,,,,,,,,,,,,,,,,,,,,
