,district,Republican,Democratic,year,state
2,1st district .....................................,72803,147307,2010,CA
3,2d district ......................................,130837,98092,2010,CA
4,3d district ......................................,131169,113128,2010,CA
5,4th district ....................................,186397,95653,2010,CA
6,5th district ....................................,43577,124220,2010,CA
7,6th district ....................................,77361,172216,2010,CA
8,7th district ....................................,56764,122435,2010,CA
9,8th district ....................................,31711,167957,2010,CA
10,9th district ....................................,23054,180400,2010,CA
11,10th district ..................................,88512,137578,2010,CA
12,11th district ..................................,112703,115361,2010,CA
13,12th district ..................................,44475,152044,2010,CA
14,13th district ..................................,45575,118278,2010,CA
15,14th district ..................................,60917,151217,2010,CA
16,15th district ..................................,60468,126147,2010,CA
17,16th district ..................................,37913,105841,2010,CA
18,17th district ..................................,53176,118734,2010,CA
19,18th district ..................................,51716,72853,2010,CA
20,19th district ..................................,128394,69912,2010,CA
21,20th district ..................................,43197,46247,2010,CA
22,21st district ...................................,135979,0,2010,CA
23,22d district ....................................,173490,0,2010,CA
24,23d district ....................................,72744,111768,2010,CA
25,24th district ..................................,144055,96279,2010,CA
26,25th district ..................................,118308,73028,2010,CA
27,26th district ..................................,112774,76093,2010,CA
28,27th district ..................................,55056,102927,2010,CA
29,28th district ..................................,28493,88385,2010,CA
30,29th district ..................................,51534,104374,2010,CA
31,30th district ..................................,75948,153663,2010,CA
32,31st district ...................................,14740,76363,2010,CA
33,32d district ....................................,31697,77759,2010,CA
34,33d district ....................................,21342,131990,2010,CA
35,34th district ..................................,20457,69382,2010,CA
36,35th district ..................................,25561,98131,2010,CA
37,36th district ..................................,66706,114489,2010,CA
38,37th district ..................................,29159,85799,2010,CA
39,38th district ..................................,30883,85459,2010,CA
40,39th district ..................................,42037,81590,2010,CA
41,40th district ..................................,119455,59400,2010,CA
42,41st district ...................................,127857,74394,2010,CA
43,42d district ....................................,127161,65122,2010,CA
44,43d district ....................................,36890,70026,2010,CA
45,44th district ..................................,107482,85784,2010,CA
46,45th district ..................................,106472,87141,2010,CA
47,46th district ..................................,139822,84940,2010,CA
48,47th district ..................................,37679,50832,2010,CA
49,48th district ..................................,145481,88465,2010,CA
50,49th district ..................................,119088,59714,2010,CA
51,50th district ..................................,142247,97818,2010,CA
52,51st district ...................................,57488,86423,2010,CA
53,52d district ....................................,139460,70870,2010,CA
54,53d district ....................................,57230,104800,2010,CA
