,district,Republican,Democratic,year,state
0,1,29253,148170,2010,IL
1,2,25883,150666,2010,IL
2,3,40479,116120,2010,IL
3,4,11711,63273,2010,IL
4,5,38935,108360,2010,IL
5,6,114456,65379,2010,IL
6,7,29575,149846,2010,IL
7,8,98115,97825,2010,IL
8,9,55182,117553,2010,IL
9,10,109941,105290,2010,IL
10,11,129108,96019,2010,IL
11,12,74046,121272,2010,IL
12,13,152132,86281,2010,IL
13,14,112369,98645,2010,IL
14,15,136915,75948,2010,IL
15,16,138299,66037,2010,IL
16,17,104583,85454,2010,IL
17,18,152868,57046,2010,IL
18,19,166166,67132,2010,IL
