,district,Republican,Democratic,year,state
11,1st district ...........,58562,106334,2010,NJ
12,2d district ............,109460,51690,2010,NJ
13,3d district ............,110215,104252,2010,NJ
14,4th district ..........,129752,52118,2010,NJ
15,5th district ..........,124030,62634,2010,NJ
16,6th district ..........,65413,81933,2010,NJ
17,7th district ..........,105084,71902,2010,NJ
18,8th district ..........,51023,88478,2010,NJ
19,9th district ..........,52082,83564,2010,NJ
20,10th district ........,14357,95299,2010,NJ
21,11th district ........,122149,55472,2010,NJ
22,12th district ........,93634,108214,2010,NJ
23,13th district ........,19538,62840,2010,NJ
