,district,Republican,Democratic,year,state
8,1st district ...........,78300,98316,2010,NY
9,2d district ............,58525,94594,2010,NY
10,3d district ............,131674,51346,2010,NY
11,4th district ..........,69323,94483,2010,NY
12,5th district ..........,36861,72239,2010,NY
13,6th district ..........,10057,85096,2010,NY
14,7th district ..........,13751,71247,2010,NY
15,8th district ..........,29514,98839,2010,NY
16,9th district ..........,37750,67011,2010,NY
17,10th district ........,7419,95485,2010,NY
18,11th district ........,9119,104297,2010,NY
19,12th district ........,0,68624,2010,NY
20,13th district ........,55821,60773,2010,NY
21,14th district ........,32065,107327,2010,NY
22,15th district ........,10678,91225,2010,NY
23,16th district ........,2257,61642,2010,NY
24,17th district ........,29792,95346,2010,NY
25,18th district ........,60513,115619,2010,NY
26,19th district ........,88734,98766,2010,NY
27,20th district ........,110813,107075,2010,NY
28,21st district .........,70211,124889,2010,NY
29,22d district ..........,75558,98661,2010,NY
30,23d district ..........,73646,82232,2010,NY
31,24th district ........,85702,89809,2010,NY
32,25th district ........,81380,103954,2010,NY
33,26th district ........,151449,54307,2010,NY
34,27th district ........,63015,119085,2010,NY
35,28th district ........,45630,102514,2010,NY
36,29th district ........,93167,0,2010,NY
