,district,Republican,Democratic,year,state
0,1,0,149944,2010,PA
1,2,21907,182800,2010,PA
2,3,111909,88924,2010,PA
3,4,116958,120827,2010,PA
4,5,127427,52375,2010,PA
5,6,133770,100493,2010,PA
6,7,137825,110314,2010,PA
7,8,130759,113547,2010,PA
8,9,141904,52322,2010,PA
9,10,110599,89846,2010,PA
10,11,102179,84618,2010,PA
11,12,91170,94056,2010,PA
12,13,91987,118710,2010,PA
13,14,49997,122073,2010,PA
14,15,109534,79766,2010,PA
15,16,134113,70994,2010,PA
16,17,95000,118486,2010,PA
17,18,161888,78558,2010,PA
18,19,165219,53549,2010,PA
