,district,Republican,Democratic,year,state
0,1,129398,0,2010,TX
1,2,130020,0,2010,TX
2,3,101180,47848,2010,TX
3,4,136338,40975,2010,TX
4,5,106742,41649,2010,TX
5,6,107140,50717,2010,TX
6,7,143655,0,2010,TX
7,8,161417,34694,2010,TX
8,9,24201,80107,2010,TX
9,10,144980,74086,2010,TX
10,11,125581,23989,2010,TX
11,12,109882,38434,2010,TX
12,13,113201,0,2010,TX
13,14,140623,44431,2010,TX
14,15,39964,53546,2010,TX
15,16,31051,49301,2010,TX
16,17,106696,63138,2010,TX
17,18,33067,85108,2010,TX
18,19,106059,25984,2010,TX
19,20,31757,58645,2010,TX
20,21,162924,65927,2010,TX
21,22,140537,62082,2010,TX
22,23,74853,67348,2010,TX
23,24,100078,0,2010,TX
24,25,84849,99967,2010,TX
25,26,120984,55385,2010,TX
26,27,50976,50179,2010,TX
27,28,46740,62773,2010,TX
28,29,22825,43257,2010,TX
29,30,24668,86322,2010,TX
30,31,126384,0,2010,TX
31,32,79433,44258,2010,TX
